,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,558089,Empacadora SMI,0,MAQUINADO DE CUÑERO A SERVOMOTOR,13128736,MAQUINADO DE CUÑERO A SERVOMOTOR,PM01,LIB.,2023-10-04 05:00:00,,,,"0,0"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,820088,Etiquetadora de manga 1,0,CAMBIO DE MOTOR DE BANDAS ESTABILIZADORA,13129775,CAMBIO DE MOTOR DE BANDAS ESTABILIZADORA,PM01,LIB.,2023-10-05 05:00:00,Ruales Richar,Medio,,"0,0"
0445,NGB,0445-PREPARACION DE JARABE,EQUIPOS PARA PREPARACION DE JARABE,69909008,Tri - Blender,0,TRIBLENDER CAMBIO SELLO BOMBA,13137152,CAMBIO SELLO POR FUGA,PM01,LIB.,2023-10-15 05:00:00,Otalvaro Evert,Alto,,"0,0"
0445,NGB,0445-PLANTA DE AGUA POTABLE,TRATAMIENTO DE AGUA POTABLE,709749,Tanques de agua (piscinas),34509,PLAN MTTO LIMPIEZA PISCINAS,13135377,Mantto tablero general de potencia,PM02,ABIE,2023-10-14 05:00:00,Vicente Mendoza,Alto,,"2,0"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,829882,Transportadores de botella,0,MANTENIMIENTO DE MOTORES DE TRANSPORTADO,13123070,MANTENIMIENTO DE MOTOR DE 1HP,PM01,LIB. OTPS,2023-10-05 05:00:00,,,,"2,0"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,719539,Llenadora,32965,MANTENIMIENTO LLENADORA,13130430,Mantto y limpieza de mangueras,PM02,LIB.,2023-10-10 05:00:00,Mora Diego,Medio,,"2,0"
0445,NGB,0445-PLANTA DE AGUA POTABLE,TRATAMIENTO DE AGUA POTABLE,0,0,0,CAMBIO DE TEJAS DE CASETA DE AREA DEL PO,13126963,CAMBIO DE TEJAS DE CASETA DE AREA DEL PO,PM02,LIB.,2023-10-02 05:00:00,,,,"2,0"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,820090,Etiquetadora de manga 3,35012,PLAN MTTO MECANICO DASE SING 3,13135125,Mantto etiquetadoras de manga,PM02,LIB.,2023-10-22 05:00:00,Striba Julian,Medio,,"3,0"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,719539,Llenadora,32965,MANTENIMIENTO LLENADORA,13137084,"""cambio de empaques de 1 1/2""""""",PM02,ABIE,2023-10-17 05:00:00,Mora Diego,Medio,,"0,5"
0445,NGB,0445-PLANTA DE AGUA POTABLE,TRATAMIENTO DE AGUA POTABLE,709749,Tanques de agua (piscinas),34509,PLAN DE MTTO PREDICTIVO,13135379,TERMOGRAFIA TABLEROS DE POTENCIA,PM07,ABIE,2023-10-19 05:00:00,Hernan Gonzales,medio/Moderado,,"0,5"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,579102,Robot Paletizador 1,50989,MTTO PREDICTIVO ROBOT # 1,13137134,TERMOGRAFIA TABLEROS DE POTENCIA,PM07,ABIE,2023-10-16 05:00:00,Hernan Gonzales,medio/Moderado,,"0,5"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,579102,Robot Paletizador 1,50989,MTTO PREDICTIVO ROBOT # 1,13137132,TERMOGRAFIA TABLEROS DE POTENCIA,PM07,ABIE,2023-10-16 05:00:00,,medio/Moderado,,"0,5"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,538690,Tapadora White Cap - DADA DE BAJA,40512,PLAN DE MTTO MECANICO WC,12938519,Mantto reductor principal RED305001,PM02,ABIE,2023-10-16 05:00:00,,,,"3,0"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,719539,Llenadora,32965,MANTENIMIENTO LLENADORA,13137084,"""Cambio de empaques de 5/8""""""",PM02,ABIE,2023-10-17 05:00:00,Mora Diego,Medio,,"0,5"
0445,NGB,0445-ENVASADO EN CALIENTE,LINEA DE ENVASADO EN CALIENTE,829885,transportadoores de cajas,36984,MTTO ELECTRICO TRN DE CAJAS,13099402,Mantto motor trn 1 LB MCA980001,PM02,ABIE,2023-10-22 05:00:00,,,,"3,0"
