,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO JUGOS HIT,EQUIPOS PARA  ENVASADO JUGOS HIT,90007001,CODIFICADOR,10502,MANTENIMIENTO GENERAL CODIFICADOR,13076071,INSPECCION SEMANAL CODIFICADOR,sin especificar,PM02,ABIE,2023-08-04 05:00:00,Mejía Hugo,,0.5
0092,POSTOBÓN MEDELLÍN,0092-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,690050,CHILLER ENFRIADO POR AGUA,44268,PLAN MTTO MECAN. CHILLER TETRA LITRO,13076225,INSPECCION SEMANAL CHILLER TETRA L9,sin especificar,PM02,LIB.,2023-08-04 05:00:00,Sánchez Jesús,medio,0.5
0092,POSTOBÓN MEDELLÍN,0092-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,709776,BOMBA AGUA HELADA RECIRCULACIÓN #2,44264,PLAN MTTO BOMBA AGUA HELADA RECIRC. #2,13076221,INSPECCION SEM. BOMBA AGUA HELADA REC. 2,sin especificar,PM02,LIB.,2023-08-04 05:00:00,Sánchez Jesús,medio,0.5
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,74963301,SISTEMA G (TABLEROS Y CONTROLES),20332,MANT MECANICO SISTE G TABLEROS-CONTROLES,13076099,INSPECCION SEMANAL SISTEMA G,sin especificar,PM02,LIB.,2023-08-04 05:00:00,David Usma,,0.5
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709779,BOMBA RETORNO CIP TANQUES PREP. LITRO,44266,PLAN MTTO BOMBA RETOR CIP TANQUES PREPL9,13076223,INSPECCION SEM. BOMBA RETORNO CIP TANQUE,sin especificar,PM02,LIB.,2023-08-04 05:00:00,David Usma,medio,2
0092,POSTOBÓN MEDELLÍN,0092-PLANTA DE AGUA,TRATAMIENTO DE AGUA PARA ENVASADO,709780,BOMBA TANQUE AGUA TRATADA,44267,PLAN MTTO BOMBA TANQUE AGUA TRATADA,13076224,INSPECCION SEM. BOMBA TANQUE AGUA TRATAD,sin especificar,PM02,LIB.,2023-08-04 05:00:00,Aguilar Gildardo,medio,1
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007403,UNIDAD ULTRAVIOLETA,20339,MANT MECANICO UNIDAD ULTRAVIOLETA 2,13076102,INSPECCION SEMANAL UNIDAD ULTRAVIOLETA 2,sin especificar,PM02,LIB.,2023-08-04 05:00:00,David Usma,,0.5
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007402,UNIDAD ULTRAVIOLETA,20340,MANT MECANICO UNIDAD ULTRAVIOLETA 1,13076104,INSPECCION SEMANAL UNIDAD ULTRAVIOLETA 1,sin especificar,PM02,LIB.,2023-08-07 05:00:00,Sebastian Morales,,0.5
0092,POSTOBÓN MEDELLÍN,0092-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,709771,BOMBA AGUA TORRE CHILLER #1,44260,PLAN MTTO MEC.BOMBA AGUA TORRE CHILLER#1,13076215,INSPECCION SEMANAL BOMBA AGUA CHILLER1,sin especificar,PM02,LIB.,2023-08-04 05:00:00,Sánchez Jesús,medio,0.5
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900071,SISTEMA A (DRUMP DUMPER),10443,MANTENIMIENTO MECANICO SISTEMA A,13076066,INSPECCION SEMANAL SISTEMA A,sin especificar,PM02,LIB.,2023-08-04 05:00:00,Sebastian Morales,,0.5
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900072,SISTEMA B (RECONSTITUCION JUGO),10444,MANTENIMIENTO MECANICO SISTEMA B,13076067,INSPECCION SEMANAL SISTEMA B,sin especificar,PM02,LIB.,2023-08-04 05:00:00,Sebastian Morales,,1
